ID;Button;Translate
1;POWER;Power
2;VOL+;Vol_up
3;VOL-;Vol_dn
4;MUTE;Mute
5;Up;Up
6;Down;Down
7;Right;Right
8;Left;Left
9;1;1
10;2;2
11;3;3
12;4;4
13;5;5
14;6;6
15;8;8
16;7;7
17;9;9
18;CH+;Ch_next
19;CH-;Ch_prev
20;0;0
21;Menu;Menu
22;Power;Power
23;Back;Back
24;Stop;Stop
25;Home;Home
26;Play;Play
27;Source;Source
28;Ok;Ok
29;Exit;Exit
30;Info;Info
31;Timer;Timer
32;Pause;Pause
33;Mute;Mute
34;Red;RED
35;Blue;BLUE
36;Green;GREEN
37;OK;Ok
38;Off;Off
39;Enter;Enter
40;Input;Input
41;Yellow;
42;Sleep;
43;Rewind;
44;UP;Up
45;On;
46;DOWN;Down
47;Mode;Mode
48;Return;
49;RIGHT;Right
50;LEFT;Left
51;Guide;
52;TEMP-;
53;TEMP+;
54;Next;
55;Auto;
56;Speed;
57;Netflix;
58;Forward;Forward
59;White;
60;MENU;Menu
61;MODE;Mode
62;Display;
63;Vol_up;Vol_up
64;Settings;
65;Freeze;
66;Play_pause;Pause
67;Flash;
68;Prev;
69;Play_Pause;Pause
70;B;
71;Audio;
72;Select;
73;Repeat;Repeat
74;STOP;Stop
75;RED;RED
76;EXIT;Exit
77;Bluetooth;BLUETOOTH
78;BLUE;BLUE
79;USB;
80;BACK;Back
81;Strobe;
82;Fade;
83;Vol_down;Vol_dn
84;SOURCE;Source
85;Record;
86;Vol-;Vol_dn
87;Vol+;Vol_up
88;R;
89;Music;
90;Options;
91;GREEN;GREEN
92;Previous;
93;PLAY;Play
94;INFO;Info
95;Fan;
96;Aspect;
97;YELLOW;
98;Text;
99;TV;
100;Rotate;
101;OFF;Off
102;TIMER;Timer
103;Rec;
104;PAUSE;Pause
105;Light;
106;Subtitle;
107;Shutter;
108;Setup;Setup
109;Orange;
110;G;
111;Zoom;
112;Purple;
113;Pink;
114;HOME;Home
115;EPG;
116;Clear;
117;CC;
118;Smooth;
119;REWIND;
120;FastForward;Forward
121;Cool;
122;On_off;Power
123;Eject;
124;Dimmer;
125;Aux;
126;SWING;
127;Plus;
128;List;
129;HDMI;
130;A;
131;Reverse;Reverse
132;Reset;
133;Play/Pause;
134;GUIDE;
135;ENTER;Enter
136;Clock;
137;CD;
138;Volume_up;Vol_up
139;Sound;
140;Search;
141;SLEEP;
142;Option;
143;ON;
144;Minus;
145;INPUT;Input
146;Fav;
147;EQ;
148;D;
149;3D;
150;W;
151;Volume_down;Vol_dn
152;Tv;
153;Picture;
154;POWERToggle;Power
155;Game;
156;Dim;
157;C;
158;Brighter;Bright+
159;Apps;
160;AUX;
161;_;
162;Youtube;
163;Vol_Up;Vol_up
164;Skip;
165;REC;
166;Oscillate;
167;Low;
168;High;
169;Fast_forward;Forward
170;FORWARD;Forward
171;-;
172;VolumeUp;Vol_up
173;Time;
174;Fwd;
175;Favorite;
176;BT;
177;8h;
178;Vol_dwn;Vol_dn
179;Vol_Down;Vol_dn
180;Tuner;
181;Tools;
182;Surround;
183;Star;
184;Slow;
185;RETURN;
186;Quick;
187;NEXT;
188;Movie;
189;Last;
190;Fan_up;
191;Fan_down;
192;FF;
193;Bright;
194;BLUETOOTH;BLUETOOTH
195;6h;
196;4h;
197;2h;
198;10;
199;TEXT;
200;Swing;
201;Standby;
202;Shuffle;Random
203;Prog;
204;Phono;
205;PLAY_PAUSE;Pause
206;PIP;
207;PC;
208;Optical;
209;Opt;
210;On/Off;Power
211;Night;
212;Led;
213;Jump;
214;Help;
215;Fast Forward;Forward
216;Fan_speed;
217;FM;
218;FAV;
219;Eco;
220;DISPLAY;
221;Cyan;
222;Cc;
223;Brightness;
224;Bright_up;Bright+
225;Bass_up;
226;AV;
227;+;
228;Wide;
229;Vudu;
230;Video;
231;Txt;
232;Temp-;
233;Temp+;
234;Teal;
235;TXT;
236;Skip_Forward;Skip_Forward
237;SETTINGS;
238;Program;
239;POWER_ON;Power_ON
240;POWER_OFF;Power_Off
241;PLAY/PAUSE;Pause
242;On_Off;Power
243;Memory;
244;LED;
245;Hulu;
246;Dash;
247;Darker;
248;DVD;
249;Center;
250;Candle;
251;Bright_down;Bright-
252;Blank;
253;Bass;
254;Backward;Backward
255;AUTO;
256;Zoom_in;
257;YouTube;
258;Volume_Up;Vol_up
259;Volume_Down;Vol_dn
260;Vol_dn;Vol_dn
261;Voice;
262;Violet;
263;Usb;
264;Temp;
265;TOOLS;
266;Skip_Back;Backward
267;Size;
268;SUBTITLE;
269;SPEED;
270;Recall;
271;REPEAT;Repeat
272;RECORD;
273;R3;
274;R2;
275;R1;
276;Pwr;
277;PREV;
278;Open_Close;
279;OSC;
280;OPTION;
281;Index;
282;Hold;
283;Heat_up;
284;Heat_down;
285;Hdmi;
286;Function;
287;Format;
288;Fast_Forward;Forward
289;FREEZE;
290;FAN-;
291;FAN+;
292;Dot;
293;Cinema;
294;Ch_list;Ch_list
295;Cancel;
296;CLEAR;
297;B3;
298;B2;
299;B1;
300;Angle;
301;Y;
302;VolumeMute;Mute
303;VolUp;Vol_up
304;VolDown;Vol_dn
305;V_down;
306;VIDEO;
307;Turquoise;
308;Tape;
309;Speed_up;
310;Speed_down;
311;Slower;
312;Skip_fwd;
313;SOUND;
314;Rew;
315;Replay;
316;Refresh;
317;R4;
318;Quiet;
319;Pre_ch;Ch_prev
320;P_mode;P_mode
321;OPT;
322;NETFLIX;
